year,city,type,sub_type,number
2007,"Edmonton",Homicide,Actual incidents,36
2008,"Edmonton",Homicide,Actual incidents,39
2009,"Edmonton",Homicide,Actual incidents,30
2010,"Edmonton",Homicide,Actual incidents,32
2011,"Edmonton",Homicide,Actual incidents,50
1998,"Edmonton",Homicide,"Rate per 100,000 population",2.38
1999,"Edmonton",Homicide,"Rate per 100,000 population",2.13
2000,"Edmonton",Homicide,"Rate per 100,000 population",1.99
2001,"Edmonton",Homicide,"Rate per 100,000 population",2.57
2002,"Edmonton",Homicide,"Rate per 100,000 population",2.73
2003,"Edmonton",Homicide,"Rate per 100,000 population",2.2
2004,"Edmonton",Homicide,"Rate per 100,000 population",3.36
2005,"Edmonton",Homicide,"Rate per 100,000 population",4.26
2006,"Edmonton",Homicide,"Rate per 100,000 population",3.61
2007,"Edmonton",Homicide,"Rate per 100,000 population",3.24
2008,"Edmonton",Homicide,"Rate per 100,000 population",3.43
2009,"Edmonton",Homicide,"Rate per 100,000 population",2.58
2010,"Edmonton",Homicide,"Rate per 100,000 population",2.72
2011,"Edmonton",Homicide,"Rate per 100,000 population",4.17
1998,"Vancouver","Total, all violations",Actual incidents,253603
1999,"Vancouver","Total, all violations",Actual incidents,245913
2000,"Vancouver","Total, all violations",Actual incidents,240154
2001,"Vancouver","Total, all violations",Actual incidents,248769
2002,"Vancouver","Total, all violations",Actual incidents,245278
2003,"Vancouver","Total, all violations",Actual incidents,261578
2004,"Vancouver","Total, all violations",Actual incidents,265795
2005,"Vancouver","Total, all violations",Actual incidents,252627
2006,"Vancouver","Total, all violations",Actual incidents,241745
2007,"Vancouver","Total, all violations",Actual incidents,229794
2008,"Vancouver","Total, all violations",Actual incidents,218150
2009,"Vancouver","Total, all violations",Actual incidents,209314
2010,"Vancouver","Total, all violations",Actual incidents,201931
2011,"Vancouver","Total, all violations",Actual incidents,195293
1998,"Vancouver","Total, all violations","Rate per 100,000 population",12824.16
1999,"Vancouver","Total, all violations","Rate per 100,000 population",12267.82
2000,"Vancouver","Total, all violations","Rate per 100,000 population",11818
2001,"Vancouver","Total, all violations","Rate per 100,000 population",12031.17
2002,"Vancouver","Total, all violations","Rate per 100,000 population",11664.86
2003,"Vancouver","Total, all violations","Rate per 100,000 population",12365.32
2004,"Vancouver","Total, all violations","Rate per 100,000 population",12215.89
2005,"Vancouver","Total, all violations","Rate per 100,000 population",11401.45
2006,"Vancouver","Total, all violations","Rate per 100,000 population",11034.92
2007,"Vancouver","Total, all violations","Rate per 100,000 population",10295.22
2008,"Vancouver","Total, all violations","Rate per 100,000 population",9569.16
2009,"Vancouver","Total, all violations","Rate per 100,000 population",8957.94
2010,"Vancouver","Total, all violations","Rate per 100,000 population",8451.84
2011,"Vancouver","Total, all violations","Rate per 100,000 population",8054.83
1998,"Vancouver",Total violent Criminal Code violations,Actual incidents,32486
1999,"Vancouver",Total violent Criminal Code violations,Actual incidents,32927
2000,"Vancouver",Total violent Criminal Code violations,Actual incidents,33245
2001,"Vancouver",Total violent Criminal Code violations,Actual incidents,32357
2002,"Vancouver",Total violent Criminal Code violations,Actual incidents,32036
2003,"Vancouver",Total violent Criminal Code violations,Actual incidents,33052
2004,"Vancouver",Total violent Criminal Code violations,Actual incidents,33777
2005,"Vancouver",Total violent Criminal Code violations,Actual incidents,33948
2006,"Vancouver",Total violent Criminal Code violations,Actual incidents,34786
2007,"Vancouver",Total violent Criminal Code violations,Actual incidents,33503
2008,"Vancouver",Total violent Criminal Code violations,Actual incidents,32800
2009,"Vancouver",Total violent Criminal Code violations,Actual incidents,32857
2010,"Vancouver",Total violent Criminal Code violations,Actual incidents,31344
2011,"Vancouver",Total violent Criminal Code violations,Actual incidents,29082
1998,"Vancouver",Total violent Criminal Code violations,"Rate per 100,000 population",1642.75
1999,"Vancouver",Total violent Criminal Code violations,"Rate per 100,000 population",1642.62
2000,"Vancouver",Total violent Criminal Code violations,"Rate per 100,000 population",1635.99
2001,"Vancouver",Total violent Criminal Code violations,"Rate per 100,000 population",1564.88
2002,"Vancouver",Total violent Criminal Code violations,"Rate per 100,000 population",1523.56
2003,"Vancouver",Total violent Criminal Code violations,"Rate per 100,000 population",1562.43
2004,"Vancouver",Total violent Criminal Code violations,"Rate per 100,000 population",1552.38
2005,"Vancouver",Total violent Criminal Code violations,"Rate per 100,000 population",1532.13
2006,"Vancouver",Total violent Criminal Code violations,"Rate per 100,000 population",1587.87
2007,"Vancouver",Total violent Criminal Code violations,"Rate per 100,000 population",1501
2008,"Vancouver",Total violent Criminal Code violations,"Rate per 100,000 population",1438.77
2009,"Vancouver",Total violent Criminal Code violations,"Rate per 100,000 population",1406.17
2010,"Vancouver",Total violent Criminal Code violations,"Rate per 100,000 population",1311.91
2011,"Vancouver",Total violent Criminal Code violations,"Rate per 100,000 population",1199.48
1998,"Vancouver",Homicide,Actual incidents,45
1999,"Vancouver",Homicide,Actual incidents,57
2000,"Vancouver",Homicide,Actual incidents,42
2001,"Vancouver",Homicide,Actual incidents,43
2002,"Vancouver",Homicide,Actual incidents,69
2003,"Vancouver",Homicide,Actual incidents,45
2004,"Vancouver",Homicide,Actual incidents,57
2005,"Vancouver",Homicide,Actual incidents,62
2006,"Vancouver",Homicide,Actual incidents,55
2007,"Vancouver",Homicide,Actual incidents,55
2008,"Vancouver",Homicide,Actual incidents,54
2009,"Vancouver",Homicide,Actual incidents,61
2010,"Vancouver",Homicide,Actual incidents,36
2011,"Vancouver",Homicide,Actual incidents,43
1998,"Vancouver",Homicide,"Rate per 100,000 population",2.28
1999,"Vancouver",Homicide,"Rate per 100,000 population",2.84
2000,"Vancouver",Homicide,"Rate per 100,000 population",2.07
2001,"Vancouver",Homicide,"Rate per 100,000 population",2.08
2002,"Vancouver",Homicide,"Rate per 100,000 population",3.28
2003,"Vancouver",Homicide,"Rate per 100,000 population",2.13
2004,"Vancouver",Homicide,"Rate per 100,000 population",2.62
2005,"Vancouver",Homicide,"Rate per 100,000 population",2.8
2006,"Vancouver",Homicide,"Rate per 100,000 population",2.51
2007,"Vancouver",Homicide,"Rate per 100,000 population",2.46
2008,"Vancouver",Homicide,"Rate per 100,000 population",2.37
2009,"Vancouver",Homicide,"Rate per 100,000 population",2.61
2010,"Vancouver",Homicide,"Rate per 100,000 population",1.51
2011,"Vancouver",Homicide,"Rate per 100,000 population",1.77
1998,Yukon,"Total, all violations",Actual incidents,6455
1999,Yukon,"Total, all violations",Actual incidents,6851
2000,Yukon,"Total, all violations",Actual incidents,7965
2001,Yukon,"Total, all violations",Actual incidents,8191
2002,Yukon,"Total, all violations",Actual incidents,8920
2003,Yukon,"Total, all violations",Actual incidents,8845
2004,Yukon,"Total, all violations",Actual incidents,7914
2005,Yukon,"Total, all violations",Actual incidents,7651
2006,Yukon,"Total, all violations",Actual incidents,6938
2007,Yukon,"Total, all violations",Actual incidents,7485
2008,Yukon,"Total, all violations",Actual incidents,8015
2009,Yukon,"Total, all violations",Actual incidents,8555
2010,Yukon,"Total, all violations",Actual incidents,7981
2011,Yukon,"Total, all violations",Actual incidents,7931
1998,Yukon,"Total, all violations","Rate per 100,000 population",20727.63
1999,Yukon,"Total, all violations","Rate per 100,000 population",22260.13
2000,Yukon,"Total, all violations","Rate per 100,000 population",26182.57
2001,Yukon,"Total, all violations","Rate per 100,000 population",27162.09
2002,Yukon,"Total, all violations","Rate per 100,000 population",29382.7
2003,Yukon,"Total, all violations","Rate per 100,000 population",28566.35
2004,Yukon,"Total, all violations","Rate per 100,000 population",25145.36
2005,Yukon,"Total, all violations","Rate per 100,000 population",23981.32
2006,Yukon,"Total, all violations","Rate per 100,000 population",21495.85
2007,Yukon,"Total, all violations","Rate per 100,000 population",22981.98
2008,Yukon,"Total, all violations","Rate per 100,000 population",24205
2009,Yukon,"Total, all violations","Rate per 100,000 population",25398.57
2010,Yukon,"Total, all violations","Rate per 100,000 population",23093.84
2011,Yukon,"Total, all violations","Rate per 100,000 population",22878.32
1998,Yukon,Total violent Criminal Code violations,Actual incidents,1332
1999,Yukon,Total violent Criminal Code violations,Actual incidents,1749
2000,Yukon,Total violent Criminal Code violations,Actual incidents,1798
2001,Yukon,Total violent Criminal Code violations,Actual incidents,1684
2002,Yukon,Total violent Criminal Code violations,Actual incidents,1719
2003,Yukon,Total violent Criminal Code violations,Actual incidents,1710
2004,Yukon,Total violent Criminal Code violations,Actual incidents,1471
2005,Yukon,Total violent Criminal Code violations,Actual incidents,1307
2006,Yukon,Total violent Criminal Code violations,Actual incidents,1243
2007,Yukon,Total violent Criminal Code violations,Actual incidents,1301
2008,Yukon,Total violent Criminal Code violations,Actual incidents,1269
2009,Yukon,Total violent Criminal Code violations,Actual incidents,1404
2010,Yukon,Total violent Criminal Code violations,Actual incidents,1464
2011,Yukon,Total violent Criminal Code violations,Actual incidents,1465
1998,Yukon,Total violent Criminal Code violations,"Rate per 100,000 population",4277.18
1999,Yukon,Total violent Criminal Code violations,"Rate per 100,000 population",5682.82
2000,Yukon,Total violent Criminal Code violations,"Rate per 100,000 population",5910.39
2001,Yukon,Total violent Criminal Code violations,"Rate per 100,000 population",5584.29
2002,Yukon,Total violent Criminal Code violations,"Rate per 100,000 population",5662.43
2003,Yukon,Total violent Criminal Code violations,"Rate per 100,000 population",5522.72
2004,Yukon,Total violent Criminal Code violations,"Rate per 100,000 population",4673.85
2005,Yukon,Total violent Criminal Code violations,"Rate per 100,000 population",4096.66
2006,Yukon,Total violent Criminal Code violations,"Rate per 100,000 population",3851.16
2007,Yukon,Total violent Criminal Code violations,"Rate per 100,000 population",3994.6
2008,Yukon,Total violent Criminal Code violations,"Rate per 100,000 population",3832.33
2009,Yukon,Total violent Criminal Code violations,"Rate per 100,000 population",4168.27
2010,Yukon,Total violent Criminal Code violations,"Rate per 100,000 population",4236.23
2011,Yukon,Total violent Criminal Code violations,"Rate per 100,000 population",4226.04
1998,Yukon,Homicide,Actual incidents,3
1999,Yukon,Homicide,Actual incidents,1
2000,Yukon,Homicide,Actual incidents,2
2001,Yukon,Homicide,Actual incidents,1
2002,Yukon,Homicide,Actual incidents,0
2003,Yukon,Homicide,Actual incidents,1
2004,Yukon,Homicide,Actual incidents,7
2005,Yukon,Homicide,Actual incidents,1
2006,Yukon,Homicide,Actual incidents,0
2007,Yukon,Homicide,Actual incidents,2
2008,Yukon,Homicide,Actual incidents,3
2009,Yukon,Homicide,Actual incidents,2
2010,Yukon,Homicide,Actual incidents,1
2011,Yukon,Homicide,Actual incidents,0
1998,Yukon,Homicide,"Rate per 100,000 population",9.63
1999,Yukon,Homicide,"Rate per 100,000 population",3.25
2000,Yukon,Homicide,"Rate per 100,000 population",6.57
2001,Yukon,Homicide,"Rate per 100,000 population",3.32
2002,Yukon,Homicide,"Rate per 100,000 population",0
2003,Yukon,Homicide,"Rate per 100,000 population",3.23
2004,Yukon,Homicide,"Rate per 100,000 population",22.24
2005,Yukon,Homicide,"Rate per 100,000 population",3.13
2006,Yukon,Homicide,"Rate per 100,000 population",0
2007,Yukon,Homicide,"Rate per 100,000 population",6.14
2008,Yukon,Homicide,"Rate per 100,000 population",9.06
2009,Yukon,Homicide,"Rate per 100,000 population",5.94
2010,Yukon,Homicide,"Rate per 100,000 population",2.89
2011,Yukon,Homicide,"Rate per 100,000 population",0
1998,Northwest Territories,"Total, all violations",Actual incidents,16875
1999,Northwest Territories,"Total, all violations",Actual incidents,10921
2000,Northwest Territories,"Total, all violations",Actual incidents,12311
2001,Northwest Territories,"Total, all violations",Actual incidents,13425
2002,Northwest Territories,"Total, all violations",Actual incidents,14733
2003,Northwest Territories,"Total, all violations",Actual incidents,17182
2004,Northwest Territories,"Total, all violations",Actual incidents,19508
2005,Northwest Territories,"Total, all violations",Actual incidents,20169
2006,Northwest Territories,"Total, all violations",Actual incidents,18877
2007,Northwest Territories,"Total, all violations",Actual incidents,20252
2008,Northwest Territories,"Total, all violations",Actual incidents,20963
2009,Northwest Territories,"Total, all violations",Actual incidents,19973
2010,Northwest Territories,"Total, all violations",Actual incidents,22325
2011,Northwest Territories,"Total, all violations",Actual incidents,22677
1998,Northwest Territories,"Total, all violations","Rate per 100,000 population",25115.34
1999,Northwest Territories,"Total, all violations","Rate per 100,000 population",26863.29
2000,Northwest Territories,"Total, all violations","Rate per 100,000 population",30398.28
2001,Northwest Territories,"Total, all violations","Rate per 100,000 population",32868.96
2002,Northwest Territories,"Total, all violations","Rate per 100,000 population",35360.61
2003,Northwest Territories,"Total, all violations","Rate per 100,000 population",40370.29
2004,Northwest Territories,"Total, all violations","Rate per 100,000 population",45052.08
2005,Northwest Territories,"Total, all violations","Rate per 100,000 population",46473.42
2006,Northwest Territories,"Total, all violations","Rate per 100,000 population",43698.78
2007,Northwest Territories,"Total, all violations","Rate per 100,000 population",46508.21
2008,Northwest Territories,"Total, all violations","Rate per 100,000 population",47991.12
2009,Northwest Territories,"Total, all violations","Rate per 100,000 population",45769.74
2010,Northwest Territories,"Total, all violations","Rate per 100,000 population",50935.43
2011,Northwest Territories,"Total, all violations","Rate per 100,000 population",51922.15
1998,Northwest Territories,Total violent Criminal Code violations,Actual incidents,4440
1999,Northwest Territories,Total violent Criminal Code violations,Actual incidents,2746
2000,Northwest Territories,Total violent Criminal Code violations,Actual incidents,2708
2001,Northwest Territories,Total violent Criminal Code violations,Actual incidents,2767
2002,Northwest Territories,Total violent Criminal Code violations,Actual incidents,3179
2003,Northwest Territories,Total violent Criminal Code violations,Actual incidents,3698
2004,Northwest Territories,Total violent Criminal Code violations,Actual incidents,3857
2005,Northwest Territories,Total violent Criminal Code violations,Actual incidents,3694
2006,Northwest Territories,Total violent Criminal Code violations,Actual incidents,3527
2007,Northwest Territories,Total violent Criminal Code violations,Actual incidents,4025
2008,Northwest Territories,Total violent Criminal Code violations,Actual incidents,3839
2009,Northwest Territories,Total violent Criminal Code violations,Actual incidents,3740
2010,Northwest Territories,Total violent Criminal Code violations,Actual incidents,3717
2011,Northwest Territories,Total violent Criminal Code violations,Actual incidents,3712
1998,Northwest Territories,Total violent Criminal Code violations,"Rate per 100,000 population",6608.13
1999,Northwest Territories,Total violent Criminal Code violations,"Rate per 100,000 population",6754.56
2000,Northwest Territories,Total violent Criminal Code violations,"Rate per 100,000 population",6686.58
2001,Northwest Territories,Total violent Criminal Code violations,"Rate per 100,000 population",6774.56
2002,Northwest Territories,Total violent Criminal Code violations,"Rate per 100,000 population",7629.91
2003,Northwest Territories,Total violent Criminal Code violations,"Rate per 100,000 population",8688.71
2004,Northwest Territories,Total violent Criminal Code violations,"Rate per 100,000 population",8907.42
2005,Northwest Territories,Total violent Criminal Code violations,"Rate per 100,000 population",8511.72
2006,Northwest Territories,Total violent Criminal Code violations,"Rate per 100,000 population",8164.73
2007,Northwest Territories,Total violent Criminal Code violations,"Rate per 100,000 population",9243.31
2008,Northwest Territories,Total violent Criminal Code violations,"Rate per 100,000 population",8788.72
2009,Northwest Territories,Total violent Criminal Code violations,"Rate per 100,000 population",8570.51
2010,Northwest Territories,Total violent Criminal Code violations,"Rate per 100,000 population",8480.49
2011,Northwest Territories,Total violent Criminal Code violations,"Rate per 100,000 population",8499.14
1998,Northwest Territories,Homicide,Actual incidents,5
1999,Northwest Territories,Homicide,Actual incidents,1
2000,Northwest Territories,Homicide,Actual incidents,1
2001,Northwest Territories,Homicide,Actual incidents,4
2002,Northwest Territories,Homicide,Actual incidents,4
2003,Northwest Territories,Homicide,Actual incidents,4
2004,Northwest Territories,Homicide,Actual incidents,4
2005,Northwest Territories,Homicide,Actual incidents,0
2006,Northwest Territories,Homicide,Actual incidents,0
2007,Northwest Territories,Homicide,Actual incidents,2
2008,Northwest Territories,Homicide,Actual incidents,3
2009,Northwest Territories,Homicide,Actual incidents,2
2010,Northwest Territories,Homicide,Actual incidents,1
2011,Northwest Territories,Homicide,Actual incidents,3
1998,Northwest Territories,Homicide,"Rate per 100,000 population",7.44
1999,Northwest Territories,Homicide,"Rate per 100,000 population",2.46
2000,Northwest Territories,Homicide,"Rate per 100,000 population",2.47
2001,Northwest Territories,Homicide,"Rate per 100,000 population",9.79
2002,Northwest Territories,Homicide,"Rate per 100,000 population",9.6
2003,Northwest Territories,Homicide,"Rate per 100,000 population",9.4
2004,Northwest Territories,Homicide,"Rate per 100,000 population",9.24
2005,Northwest Territories,Homicide,"Rate per 100,000 population",0
2006,Northwest Territories,Homicide,"Rate per 100,000 population",0
2007,Northwest Territories,Homicide,"Rate per 100,000 population",4.59
2008,Northwest Territories,Homicide,"Rate per 100,000 population",6.87
2009,Northwest Territories,Homicide,"Rate per 100,000 population",4.58
2010,Northwest Territories,Homicide,"Rate per 100,000 population",2.28
2011,Northwest Territories,Homicide,"Rate per 100,000 population",6.87
1998,Nunavut,"Total, all violations",Actual incidents,0
1999,Nunavut,"Total, all violations",Actual incidents,5207
2000,Nunavut,"Total, all violations",Actual incidents,6155
2001,Nunavut,"Total, all violations",Actual incidents,7647
2002,Nunavut,"Total, all violations",Actual incidents,8969
2003,Nunavut,"Total, all violations",Actual incidents,10771
2004,Nunavut,"Total, all violations",Actual incidents,11507
2005,Nunavut,"Total, all violations",Actual incidents,11100
2006,Nunavut,"Total, all violations",Actual incidents,10180
2007,Nunavut,"Total, all violations",Actual incidents,9999
2008,Nunavut,"Total, all violations",Actual incidents,11770
2009,Nunavut,"Total, all violations",Actual incidents,12830
2010,Nunavut,"Total, all violations",Actual incidents,13683
2011,Nunavut,"Total, all violations",Actual incidents,13698
1998,Nunavut,"Total, all violations","Rate per 100,000 population",0
1999,Nunavut,"Total, all violations","Rate per 100,000 population",19413.17
2000,Nunavut,"Total, all violations","Rate per 100,000 population",22381.82
2001,Nunavut,"Total, all violations","Rate per 100,000 population",27180.64
2002,Nunavut,"Total, all violations","Rate per 100,000 population",31121.83
2003,Nunavut,"Total, all violations","Rate per 100,000 population",36736.02
2004,Nunavut,"Total, all violations","Rate per 100,000 population",38544.25
2005,Nunavut,"Total, all violations","Rate per 100,000 population",36599.84
2006,Nunavut,"Total, all violations","Rate per 100,000 population",33053.02
2007,Nunavut,"Total, all violations","Rate per 100,000 population",31974.29
2008,Nunavut,"Total, all violations","Rate per 100,000 population",37212.68
2009,Nunavut,"Total, all violations","Rate per 100,000 population",39795.29
2010,Nunavut,"Total, all violations","Rate per 100,000 population",41674.53
2011,Nunavut,"Total, all violations","Rate per 100,000 population",41107.98
1998,Nunavut,Total violent Criminal Code violations,Actual incidents,0
1999,Nunavut,Total violent Criminal Code violations,Actual incidents,1846
2000,Nunavut,Total violent Criminal Code violations,Actual incidents,2160
2001,Nunavut,Total violent Criminal Code violations,Actual incidents,2463
2002,Nunavut,Total violent Criminal Code violations,Actual incidents,2635
2003,Nunavut,Total violent Criminal Code violations,Actual incidents,3012
2004,Nunavut,Total violent Criminal Code violations,Actual incidents,2985
2005,Nunavut,Total violent Criminal Code violations,Actual incidents,2858
2006,Nunavut,Total violent Criminal Code violations,Actual incidents,2624
2007,Nunavut,Total violent Criminal Code violations,Actual incidents,2838
2008,Nunavut,Total violent Criminal Code violations,Actual incidents,3077
2009,Nunavut,Total violent Criminal Code violations,Actual incidents,3015
2010,Nunavut,Total violent Criminal Code violations,Actual incidents,3408
2011,Nunavut,Total violent Criminal Code violations,Actual incidents,3328
1998,Nunavut,Total violent Criminal Code violations,"Rate per 100,000 population",0
1999,Nunavut,Total violent Criminal Code violations,"Rate per 100,000 population",6882.41
2000,Nunavut,Total violent Criminal Code violations,"Rate per 100,000 population",7854.55
2001,Nunavut,Total violent Criminal Code violations,"Rate per 100,000 population",8754.53
2002,Nunavut,Total violent Criminal Code violations,"Rate per 100,000 population",9143.27
2003,Nunavut,Total violent Criminal Code violations,"Rate per 100,000 population",10272.85
2004,Nunavut,Total violent Criminal Code violations,"Rate per 100,000 population",9998.66
2005,Nunavut,Total violent Criminal Code violations,"Rate per 100,000 population",9423.63
2006,Nunavut,Total violent Criminal Code violations,"Rate per 100,000 population",8519.76
2007,Nunavut,Total violent Criminal Code violations,"Rate per 100,000 population",9075.21
2008,Nunavut,Total violent Criminal Code violations,"Rate per 100,000 population",9728.41
2009,Nunavut,Total violent Criminal Code violations,"Rate per 100,000 population",9351.74
2010,Nunavut,Total violent Criminal Code violations,"Rate per 100,000 population",10379.8
2011,Nunavut,Total violent Criminal Code violations,"Rate per 100,000 population",9987.4
1998,Nunavut,Homicide,Actual incidents,0
1999,Nunavut,Homicide,Actual incidents,2
2000,Nunavut,Homicide,Actual incidents,3
2001,Nunavut,Homicide,Actual incidents,3
2002,Nunavut,Homicide,Actual incidents,2
2003,Nunavut,Homicide,Actual incidents,3
2004,Nunavut,Homicide,Actual incidents,4
2005,Nunavut,Homicide,Actual incidents,2
2006,Nunavut,Homicide,Actual incidents,2
2007,Nunavut,Homicide,Actual incidents,7
2008,Nunavut,Homicide,Actual incidents,4
2009,Nunavut,Homicide,Actual incidents,6
2010,Nunavut,Homicide,Actual incidents,6
2011,Nunavut,Homicide,Actual incidents,7
1998,Nunavut,Homicide,"Rate per 100,000 population",0
1999,Nunavut,Homicide,"Rate per 100,000 population",7.46
2000,Nunavut,Homicide,"Rate per 100,000 population",10.91
2001,Nunavut,Homicide,"Rate per 100,000 population",10.66
2002,Nunavut,Homicide,"Rate per 100,000 population",6.94
2003,Nunavut,Homicide,"Rate per 100,000 population",10.23
2004,Nunavut,Homicide,"Rate per 100,000 population",13.4
2005,Nunavut,Homicide,"Rate per 100,000 population",6.59
2006,Nunavut,Homicide,"Rate per 100,000 population",6.49
2007,Nunavut,Homicide,"Rate per 100,000 population",22.38
2008,Nunavut,Homicide,"Rate per 100,000 population",12.65
2009,Nunavut,Homicide,"Rate per 100,000 population",18.61
2010,Nunavut,Homicide,"Rate per 100,000 population",18.27
2011,Nunavut,Homicide,"Rate per 100,000 population",21.01
