City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised
Milpitas,3/31/2011,73349758749,General Purpose Integrated Circuits,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,
Los Gatos,3/31/2011,1.11557E+11,Integrated Circuit Production,Information Technology,Semiconductors,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,5.75
San Francisco,3/31/2011,82040757684,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,16
Sunnyvale,3/31/2011,1.06144E+11,Database Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,0.78
Austin,3/31/2011,1.12089E+11,Communications Software,Information Technology,Software,"Austin-Round Rock, TX",South Central,Generating Revenue,Later Stage,TX,Austin Metro,1,1,8
San Diego,3/31/2011,57190757683,Application-Specific Integrated Circuits,Information Technology,Semiconductors,"San Diego-Carlsbad-San Marcos, CA",Southern California,Generating Revenue,Restart,CA,San Diego Metro,1,1,3.2
Salt Lake City,3/31/2011,6.05277E+11,Educational/Training Software,Information Technology,Software,"Salt Lake City, UT",Mountain,Generating Revenue,Second Round,UT,,1,1,8.52
Waltham,3/31/2011,1.15632E+11,Business Applications Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,MA,Boston Metro,1,1,2
Waltham,3/31/2011,1.02953E+11,Network/Systems Management Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,MA,Boston Metro,1,1,15
San Mateo,3/31/2011,1.82473E+11,Communications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,
Camarillo,3/31/2011,1.06208E+11,Power Supplies,Information Technology,Electronics and Computer Hardware,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Second Round,CA,Los Angeles Metro,1,1,64
Long Island City,3/31/2011,6.13218E+11,Multimedia/Streaming Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product In Beta Test,Seed Round,NY,New York Metro,1,1,4.5
Mercer Island,3/31/2011,6.13114E+11,Software: Other,Information Technology,Software,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product In Beta Test,Seed Round,WA,Seattle Metro,1,1,
Culver City,3/31/2011,6.09393E+11,Vertical Market Applications Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,Seed Round,CA,Los Angeles Metro,1,1,
San Diego,3/31/2011,6.13227E+11,Communications Software,Information Technology,Software,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,Seed Round,CA,San Diego Metro,1,1,1
San Francisco,4/1/2011,6.1516E+11,General Business Consulting,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,2.23
New York,4/1/2011,3.55171E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NY,New York Metro,1,1,8
Pittsfield,4/1/2011,1.05218E+11,Educational/Training Media and Services,Consumer Services,Media and Content,"Pittsfield, MA",New England,Generating Revenue,Second Round,MA,,1,1,0.37
Chicago,4/1/2011,6.14862E+11,Online Communities,Consumer Services,Consumer Information Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Seed Round,IL,Chicago Metro,1,1,
Plymouth,4/1/2011,3.57769E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Product Development,Later Stage,MN,,1,1,10
Redwood City,4/1/2011,94903758079,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Clinical Trials - Generic,Later Stage,CA,San Francisco Bay Area,1,1,8.11
South San Francisco,4/1/2011,75401758224,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Clinical Trials - Phase 3,Later Stage,CA,San Francisco Bay Area,1,1,17.47
Waltham,4/1/2011,1.12125E+11,Materials and Chemicals: Other,Industrial Goods and Materials,Materials and Chemicals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,MA,Boston Metro,1,1,7
San Francisco,4/1/2011,6.14027E+11,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,First Round,CA,San Francisco Bay Area,1,1,3.71
Venice,4/1/2011,6.13373E+11,Communications Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,First Round,CA,Los Angeles Metro,1,1,1.6
Foster City,4/1/2011,56663759972,Business Applications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,2
Pittsburgh,4/1/2011,3.56074E+11,Educational/Training Software,Information Technology,Software,"Pittsburgh, PA",Mid-Atlantic,Generating Revenue,Second Round,PA,,1,1,0.34
Boulder,4/1/2011,6.08993E+11,Consumer Electronics,Information Technology,Electronics and Computer Hardware,"Boulder, CO",Mountain,Product Development,Second Round,CO,,1,1,5
Honolulu,4/4/2011,6.15158E+11,Consumer Information Services: Other,Consumer Services,Consumer Information Services,"Honolulu, HI",Alaska/Islands,Product Development,Second Round,HI,,1,1,
New York,4/4/2011,6.13271E+11,Online Communities,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,Seed Round,NY,New York Metro,1,1,3
San Francisco,4/4/2011,3.53854E+11,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,23
Austin,4/5/2011,6.12952E+11,Business Support Services: Other,Business and Financial Services,Business Support Services,"Austin-Round Rock, TX",South Central,Product In Beta Test,First Round,TX,Austin Metro,1,1,2
Buffalo,4/5/2011,6.11338E+11,Human Resources/Recruitment,Business and Financial Services,Business Support Services,"Buffalo-Niagara Falls, NY",Mid-Atlantic,Generating Revenue,Second Round,NY,,1,1,12.62
Richmond,4/5/2011,6.08838E+11,Payment/Transactional Processing,Business and Financial Services,Financial Institutions and Services,"Richmond, VA",Mid-Atlantic,Generating Revenue,Second Round,VA,,1,1,0.02
San Francisco,4/5/2011,6.13327E+11,Educational/Training Media and Services,Consumer Services,Media and Content,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,CA,San Francisco Bay Area,1,1,2.5
Woburn,4/5/2011,6.08461E+11,Travel Arrangement/Tourism,Consumer Services,Travel and Leisure,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Second Round,MA,Boston Metro,1,1,5
San Francisco,4/5/2011,6.10837E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,4.48
Sanford,4/5/2011,6.13088E+11,Wind/Water and Geothermal Energy,Energy and Utilities,Renewable Energy,"Orlando, FL",South East,Generating Revenue,Later Stage,FL,,1,1,32.5
Boston,4/5/2011,58998758376,Clinical Decision Support,Healthcare,Medical Software and Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Profitable,Corporate,MA,Boston Metro,1,1,20
Indianapolis,4/5/2011,6.13142E+11,Home Healthcare Services,Healthcare,Healthcare Services,"Indianapolis-Carmel, IN",Midwest East,Generating Revenue,First Round,IN,,1,1,6
Salt Lake City,4/5/2011,6.13713E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Salt Lake City, UT",Mountain,Product Development,First Round,UT,,1,1,0.82
Cambridge,4/5/2011,85394761281,Healthcare Administration Software,Healthcare,Medical Software and Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Profitable,Later Stage,MA,Boston Metro,1,1,15
New York,4/6/2011,6.13221E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,First Round,NY,New York Metro,1,1,2
St. Louis,4/6/2011,6.08427E+11,Surgical Devices,Healthcare,Medical Devices and Equipment,"St. Louis, MO-IL",Midwest Central,Product Development,First Round,MO,,1,1,1.33
Roanoke,4/6/2011,90156757715,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Roanoke, VA",Mid-Atlantic,Generating Revenue,Later Stage,VA,,1,1,35
Lexington,4/6/2011,1.82364E+11,Biopharmaceuticals: TBA,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Clinical Trials - Phase 1,Later Stage,MA,Boston Metro,1,1,30.4
Cambridge,4/6/2011,83232758054,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Clinical Trials - Phase 2,Later Stage,MA,Boston Metro,1,1,77
Suwanee,4/6/2011,1.1242E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Atlanta-Sandy Springs-Marietta, GA",South East,Product Development,Later Stage,GA,,1,1,3.5
Cincinnati,4/6/2011,54891757712,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Cincinnati-Middletown, OH-KY-IN",Midwest East,Clinical Trials - Phase 2,Second Round,OH,,1,1,14
Nashville,4/6/2011,3.55895E+11,Healthcare Services: Other,Healthcare,Healthcare Services,"Nashville-Davidson-Murfreesboro, TN",South East,Product Development,Second Round,TN,,1,1,1
Palo Alto,4/6/2011,6.13903E+11,Communications Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,First Round,CA,San Francisco Bay Area,1,1,17.5
Santa Clara,4/6/2011,4.70876E+11,Consumer Electronics,Information Technology,Electronics and Computer Hardware,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,37.29
Seattle,4/7/2011,66145758280,Shopping Facilitators,Consumer Services,Consumer Information Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,Restart,WA,Seattle Metro,1,1,6.28
Madison,4/7/2011,62140757611,Medical/Lab Services,Healthcare,Healthcare Services,"Madison, WI",Midwest East,Generating Revenue,Later Stage,WI,,1,1,30
Sunnyvale,4/7/2011,96030758223,Medical Devices and Equipment: TBA,Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,CA,San Francisco Bay Area,1,1,8.23
Boston,4/8/2011,3.55872E+11,Environmental Engineering/Services,Business and Financial Services,Construction and Civil Engineering,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Individual,MA,Boston Metro,1,1,2.75
Durham,4/8/2011,66801758607,Advertising/Marketing,Business and Financial Services,Business Support Services,"Durham-Chapel Hill, NC",South East,Generating Revenue,Later Stage,NC,,1,1,12.14
Los Angeles,4/8/2011,6.05726E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,Later Stage,CA,Los Angeles Metro,1,1,14.12
New York,4/8/2011,6.07255E+11,Online Communities,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,NY,New York Metro,1,1,3.75
Seattle,4/8/2011,1.83972E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,First Round,WA,Seattle Metro,1,1,0.2
Tucson,4/8/2011,87014761729,Fiberoptic Equipment,Information Technology,Communications and Networking,"Tucson, AZ",Mountain,Generating Revenue,Later Stage,AZ,,1,1,
Ashaway,4/8/2011,3.54322E+11,Data Storage,Information Technology,Electronics and Computer Hardware,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,RI,,1,1,1
Pleasanton,4/8/2011,90141761239,Integrated Circuit Production,Information Technology,Semiconductors,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,1.5
Cambridge,4/8/2011,6.15121E+11,To Be Assigned,To Be Assigned,To Be Assigned,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,MA,Boston Metro,1,1,10.8
Waltham,4/11/2011,6.08534E+11,Customer Relationship Management,Business and Financial Services,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,MA,Boston Metro,1,1,7
San Francisco,4/11/2011,6.03864E+11,Data Management Services,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,2
Norwalk,4/11/2011,6.07134E+11,General Media/Content,Consumer Services,Media and Content,"Bridgeport-Stamford-Norwalk, CT",Mid-Atlantic,Generating Revenue,Unclassified,CT,New York Metro,1,1,6.35
Oakland,4/11/2011,60324757888,Solar Energy,Energy and Utilities,Renewable Energy,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Corporate,CA,San Francisco Bay Area,1,1,168
Pittsburgh,4/11/2011,3.53708E+11,Diagnostic Imaging Equipment,Healthcare,Medical Devices and Equipment,"Pittsburgh, PA",Mid-Atlantic,Product Development,First Round,PA,,1,1,2.39
Cambridge,4/11/2011,6.13048E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,MA,Boston Metro,1,1,40
Durham,4/11/2011,1.82601E+11,Diagnostic Imaging Equipment,Healthcare,Medical Devices and Equipment,"Durham-Chapel Hill, NC",South East,Pre-Clinical Trials,Later Stage,NC,,1,1,0.62
Ronkonkoma,4/11/2011,4.7101E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Startup,Second Round,NY,New York Metro,1,1,8.36
Gilbert,4/11/2011,6.13289E+11,Building Materials/Construction Machinery,Industrial Goods and Materials,Machinery and Industrial Goods,"Phoenix-Mesa-Scottsdale, AZ",Mountain,Generating Revenue,Later Stage,AZ,,1,1,8
New York,4/11/2011,65154758543,Multimedia/Streaming Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NY,New York Metro,1,1,6.13
Boston,4/12/2011,1.8244E+11,Drug Discovery/Bioinformatics Software,Healthcare,Medical Software and Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Product In Beta Test,Second Round,MA,Boston Metro,1,1,20
Seattle,4/12/2011,6.15109E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Clinical Trials - Generic,Second Round,WA,Seattle Metro,1,1,1.5
Seattle,4/12/2011,6.13404E+11,Wireless Telecommunications Service Providers,Information Technology,Communications and Networking,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,First Round,WV,Seattle Metro,1,1,6
Beachwood,4/12/2011,1.1365E+11,Software: Other,Information Technology,Software,"Cleveland-Elyria-Mentor, OH",Midwest East,Generating Revenue,Later Stage,OH,,1,1,17.2
Redwood City,4/12/2011,1.06016E+11,Communications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,5
Plano,4/12/2011,2.31382E+11,Communications Software,Information Technology,Software,"Dallas-Fort Worth-Arlington, TX",South Central,Product Development,Later Stage,TX,Dallas-Fort Worth,1,1,2.76
Fort Washington,4/13/2011,54908758860,Lending,Business and Financial Services,Financial Institutions and Services,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Second Round,PA,,1,1,1.24
Norwalk,4/13/2011,3.56812E+11,Educational/Training Media and Services,Consumer Services,Media and Content,"Bridgeport-Stamford-Norwalk, CT",Mid-Atlantic,Generating Revenue,Restart,CT,New York Metro,1,1,2
Cranbury,4/13/2011,93052758486,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NJ,New York Metro,1,1,0.41
Kalamazoo,4/13/2011,3.57192E+11,Surgical Devices,Healthcare,Medical Devices and Equipment,"Kalamazoo-Portage, MI",Midwest East,Generating Revenue,Second Round,MI,,1,1,0.14
Boston,4/13/2011,1.03478E+11,Multimedia/Streaming Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,MA,Boston Metro,1,1,7.7
Cupertino,4/13/2011,77681758504,Network/Systems Management Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Restart,CA,San Francisco Bay Area,1,1,3.37
Ann Arbor,4/13/2011,2.28429E+11,Fiberoptic Equipment,Information Technology,Communications and Networking,"Ann Arbor, MI",Midwest East,Product Development,Second Round,MI,,1,1,0.2
San Francisco,4/13/2011,6.03862E+11,Recreational/Home Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Second Round,CA,San Francisco Bay Area,1,1,10.7
New York,4/14/2011,3.55442E+11,Travel Arrangement/Tourism,Consumer Services,Travel and Leisure,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NY,New York Metro,1,1,10.01
Los Angeles,4/14/2011,1.83023E+11,Entertainment,Consumer Services,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Later Stage,CA,Los Angeles Metro,1,1,3.42
Plymouth,4/14/2011,1.10607E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Product Development,Later Stage,MN,,1,1,1.64
Santa Clara,4/14/2011,58911758219,Surgical Devices,Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,CA,San Francisco Bay Area,1,1,35
San Diego,4/14/2011,63567758239,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Clinical Trials - Phase 2,Second Round,CA,San Diego Metro,1,1,19.2
Alpharetta,4/15/2011,1.15615E+11,Personal Care Products,Consumer Goods,Personal Goods,"Atlanta-Sandy Springs-Marietta, GA",South East,Product Development,Second Round,GA,,1,1,6
New York,4/15/2011,1.06624E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NY,New York Metro,1,1,138
San Francisco,4/15/2011,90740758916,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,10
Mountain View,4/15/2011,63544753217,Biofuels/Biomass,Energy and Utilities,Renewable Energy,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,22
Mountain View,4/15/2011,3.53957E+11,Solar Energy,Energy and Utilities,Renewable Energy,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Second Round,CA,San Francisco Bay Area,1,1,
Boston,4/15/2011,6.13409E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Clinical Trials - Generic,Second Round,MA,Boston Metro,1,1,7
Chelsea,4/15/2011,6.11301E+11,Drug Delivery,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Second Round,MA,Boston Metro,1,1,5
Palo Alto,4/15/2011,2.28898E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Second Round,CA,San Francisco Bay Area,1,1,3.55
Somerville,4/15/2011,6.07162E+11,Business Applications Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,MA,Boston Metro,1,1,0.1
Mountain View,4/15/2011,6.14965E+11,Database Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,3
Palo Alto,4/15/2011,6.04023E+11,Educational/Training Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,CA,San Francisco Bay Area,1,1,1.95
Bainbridge Island,4/15/2011,57672758694,Business Applications Software,Information Technology,Software,"Bremerton-Silverdale, WA",Pacific Northwest,Generating Revenue,Later Stage,WA,Seattle Metro,1,1,10
San Francisco,4/18/2011,1.11055E+11,Human Resources/Recruitment,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,15.75
Santa Clara,4/18/2011,65250758705,Medical/Lab Services,Healthcare,Healthcare Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,CA,San Francisco Bay Area,1,1,28.8
Los Angeles,4/18/2011,6.13277E+11,Business Applications Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,First Round,CA,Los Angeles Metro,1,1,5.4
Mountain View,4/18/2011,95766759319,Wireless Communications Equipment,Information Technology,Communications and Networking,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,6.94
Waltham,4/18/2011,77838758605,Conferencing Equipment/Services,Information Technology,Communications and Networking,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Restart,MA,Boston Metro,1,1,3.8
San Francisco,4/19/2011,6.13313E+11,Entertainment,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,0.3
Albuquerque,4/19/2011,2.28964E+11,Solar Energy,Energy and Utilities,Renewable Energy,"Albuquerque, NM",Mountain,Generating Revenue,Later Stage,NM,,1,1,4.4
New York,4/19/2011,6.13998E+11,Drug Development Technologies,Healthcare,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,First Round,NY,New York Metro,1,1,2
Buffalo,4/19/2011,79460758512,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Buffalo-Niagara Falls, NY",Mid-Atlantic,Clinical Trials - Phase 1,Second Round,NY,,1,1,4.67
Monterey,4/19/2011,6.10273E+11,Containers/Packaging,Industrial Goods and Materials,Machinery and Industrial Goods,"Salinas, CA",Northern California,Generating Revenue,First Round,CA,,1,1,2.3
Seattle,4/19/2011,1.10586E+11,Wired Communications Equipment,Information Technology,Communications and Networking,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Later Stage,WA,Seattle Metro,1,1,14
Wilmington,4/20/2011,3.55154E+11,Customer Relationship Management,Business and Financial Services,Business Support Services,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Product Development,Later Stage,DE,,1,1,2.58
Bethlehem,4/20/2011,1.04289E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Allentown-Bethlehem-Easton, PA-NJ",Mid-Atlantic,Profitable,Later Stage,PA,,1,1,0.45
Northbrook,4/20/2011,1.82259E+11,Facilities/Operations Management,Business and Financial Services,Business Support Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Second Round,IL,Chicago Metro,1,1,25.77
San Francisco,4/20/2011,6.14736E+11,Consumer Information Services: Other,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,2.4
Boulder,4/20/2011,80828758337,Search Portals,Consumer Services,Consumer Information Services,"Boulder, CO",Mountain,Generating Revenue,Later Stage,CO,,1,1,10
Alexandria,4/20/2011,6.03428E+11,Educational/Training Media and Services,Consumer Services,Media and Content,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Product Development,Second Round,VA,Potomac,1,1,2
Hayward,4/20/2011,57516758707,Biofuels/Biomass,Energy and Utilities,Renewable Energy,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,Later Stage,CA,San Francisco Bay Area,1,1,3.72
,4/20/2011,1.01041E+11,Multimedia/Streaming Software,Information Technology,Software,"Madison, WI",Midwest East,Generating Revenue,Corporate,WI,,1,1,
New York,4/20/2011,94564758316,Communications Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NY,New York Metro,1,1,5
Palo Alto,4/20/2011,88728758875,Business Applications Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,50
Mount Laurel,4/21/2011,1.82724E+11,Security Services,Business and Financial Services,Business Support Services,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Later Stage,NJ,,1,1,3.18
Ashland,4/21/2011,1.83066E+11,Office Equipment/Supplies,Consumer Goods,Household and Office Goods,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Later Stage,MA,Boston Metro,1,1,5
San Francisco,4/21/2011,6.1339E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,1.3
Seatlle,4/21/2011,76968758873,Travel and Leisure: Other,Consumer Services,Travel and Leisure,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Generating Revenue,Unclassified,WA,Seattle Metro,1,1,1.9
Englewood,4/21/2011,6.13296E+11,Patient Monitoring/Biofeedback,Healthcare,Medical Devices and Equipment,"Denver-Aurora-Broomfield, CO",Mountain,Generating Revenue,First Round,CO,,1,1,10.2
Minneapolis,4/21/2011,3.57274E+11,Medical Software and Information Services: Other,Healthcare,Medical Software and Information Services,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Generating Revenue,Second Round,MN,,1,1,27
Burbank,4/22/2011,1.02285E+11,Retail Investment Services/Brokerages,Business and Financial Services,Financial Institutions and Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Profitable,Later Stage,CA,Los Angeles Metro,1,1,4.6
San Mateo,4/22/2011,6.05352E+11,Data Management Services,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,9.25
Ferndale,4/22/2011,6.13387E+11,Appliances/Durable Household Goods,Consumer Goods,Household and Office Goods,"Detroit-Warren-Livonia, MI",Midwest East,Generating Revenue,First Round,MI,,1,1,1.84
Palo Alto,4/22/2011,6.09824E+11,Shopping Facilitators,Consumer Services,Consumer Information Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Second Round,CA,San Francisco Bay Area,1,1,3.36
